Year,State,Geo ID,State ID,Median Household Income (in Inflation-Adjusted Dollars),Total Opioid Deaths
2022,Alabama,0400000US01,01,59674,1015.777778
2022,Alaska,0400000US02,02,88121,185.5833333
2022,Arizona,0400000US04,04,74568,1983.25
2022,Arkansas,0400000US05,05,55432,387.8333333
2022,California,0400000US06,06,91551,7705.583333
2022,Colorado,0400000US08,08,89302,1250.083333
2022,Connecticut,0400000US09,09,88429,1367.25
2022,Delaware,0400000US10,10,82174,464.5
2022,District of Columbia,0400000US11,11,101027,425.5833333
2022,Florida,0400000US12,12,69303,5984.5
2022,Georgia,0400000US13,13,72837,1846.75
2022,Hawaii,0400000US15,15,92458,101.5
2022,Idaho,0400000US16,16,72785,246.9166667
2022,Illinois,0400000US17,17,76708,3207.916667
2022,Indiana,0400000US18,18,66785,2133.666667
2022,Iowa,0400000US19,19,69588,256.25
2022,Kansas,0400000US20,20,68925,466.1666667
2022,Kentucky,0400000US21,21,59341,1830.666667
2022,Maine,0400000US23,23,69543,577.6666667
2022,Maryland,0400000US24,24,94991,2270.916667
2022,Massachusetts,0400000US25,25,94488,2281.75
2022,Michigan,0400000US26,26,66986,2449.25
2022,Minnesota,0400000US27,27,82338,994.1666667
2022,Mississippi,0400000US28,28,52719,502.3333333
2022,Missouri,0400000US29,29,64811,1598.5
2022,Montana,0400000US30,30,67631,119.4166667
2022,Nevada,0400000US32,32,72333,634.0
2022,New Hampshire,0400000US33,33,89992,421.5833333
2022,New Jersey,0400000US34,34,96346,2628.916667
2022,New Mexico,0400000US35,35,59726,741.9166667
2022,New York,0400000US36,36,79557,2618.625
2022,North Carolina,0400000US37,37,67481,3443.666667
2022,North Dakota,0400000US38,38,71970,76.0
2022,Ohio,0400000US39,39,65720,4277.0
2022,Oklahoma,0400000US40,40,59673,616.0
2022,Oregon,0400000US41,41,75657,852.0833333
2022,Rhode Island,0400000US44,44,81854,380.5
2022,South Carolina,0400000US45,45,64115,1801.416667
2022,South Dakota,0400000US46,46,69728,41.75
2022,Tennessee,0400000US47,47,65254,3045.333333
2022,Texas,0400000US48,48,72284,2853.166667
2022,Utah,0400000US49,49,89168,444.9166667
2022,Vermont,0400000US50,50,73991,228.0
2022,Virginia,0400000US51,51,85873,2126.75
2022,Washington,0400000US53,53,91306,1819.833333
2022,West Virginia,0400000US54,54,54329,1154.833333
2022,Wisconsin,0400000US55,55,70996,1469.833333
2022,Wyoming,0400000US56,56,70042,72.25
2021,Alabama,0400000US01,01,53913,0.0
2021,Arizona,0400000US04,04,69056,1985.666667
2021,Arkansas,0400000US05,05,52528,338.6666667
2021,California,0400000US06,06,84907,6885.666667
2021,Colorado,0400000US08,08,82254,1156.916667
2021,Connecticut,0400000US09,09,83771,1332.75
2021,Delaware,0400000US10,10,71091,415.5
2021,District of Columbia,0400000US11,11,90088,408.5
2021,Florida,0400000US12,12,63062,6047.75
2021,Georgia,0400000US13,13,66559,1512.416667
2021,Hawaii,0400000US15,15,84857,81.5
2021,Idaho,0400000US16,16,66474,196.8
2021,Illinois,0400000US17,17,72205,2941.25
2021,Indiana,0400000US18,18,62743,2027.0
2021,Iowa,0400000US19,19,65600,234.9166667
2021,Kansas,0400000US20,20,64124,353.75
2021,Kentucky,0400000US21,21,55573,1860.333333
2021,Maine,0400000US23,23,64767,482.25
2021,Maryland,0400000US24,24,90203,2560.416667
2021,Massachusetts,0400000US25,25,89645,2141.0
2021,Michigan,0400000US26,26,63498,2400.083333
2021,Minnesota,0400000US27,27,77720,878.3333333
2021,Mississippi,0400000US28,28,48716,484.9166667
2021,Missouri,0400000US29,29,61847,1507.666667
2021,Montana,0400000US30,30,63249,96.83333333
2021,Nevada,0400000US32,32,66274,635.3333333
2021,New Hampshire,0400000US33,33,88465,343.9166667
2021,New Jersey,0400000US34,34,89296,2576.75
2021,New Mexico,0400000US35,35,53992,652.8333333
2021,New York,0400000US36,36,74314,2352.875
2021,North Carolina,0400000US37,37,61972,2973.5
2021,North Dakota,0400000US38,38,66519,0.0
2021,Ohio,0400000US39,39,62262,4537.083333
2021,Oklahoma,0400000US40,40,55826,365.0833333
2021,Oregon,0400000US41,41,71562,654.0
2021,Rhode Island,0400000US44,44,74008,350.8333333
2021,South Carolina,0400000US45,45,59318,1585.833333
2021,South Dakota,0400000US46,46,66143,37.75
2021,Tennessee,0400000US47,47,59695,2829.916667
2021,Texas,0400000US48,48,66963,2511.583333
2021,Utah,0400000US49,49,79449,445.75
2021,Vermont,0400000US50,50,72431,192.8333333
2021,Virginia,0400000US51,51,80963,2094.583333
2021,Washington,0400000US53,53,84247,1418.833333
2021,West Virginia,0400000US54,54,51248,1268.5
2021,Wisconsin,0400000US55,55,67125,1341.166667
2021,Wyoming,0400000US56,56,65204,60.75
2021,Alaska,0400000US02,02,77845,156.5
2019,Mississippi,0400000US28,28,45792,194.6363636
2019,Missouri,0400000US29,29,57409,1122.166667
2019,Montana,0400000US30,30,57153,0.0
2019,Nevada,0400000US32,32,63276,416.75
2019,New Hampshire,0400000US33,33,77933,374.5
2019,New Jersey,0400000US34,34,85751,2472.916667
