,Year,State,No High School Degree,High School Diploma or GED,College Degree or greater,Total Surveyed
0,2017,Mississippi,305968,1026796,626577,1959341
1,2017,Missouri,427539,2190467,1532269,4150275
2,2017,Montana,50729,373348,299589,723666
3,2017,Nebraska,109423,622504,527327,1259254
4,2017,Nevada,273017,1111375,678788,2063180
5,2017,New Hampshire,66560,439575,451870,958005
6,2017,New Jersey,628185,2711498,2894855,6234538
7,2017,New Mexico,193565,703879,494031,1391475
8,2017,New York,1854945,5767893,6198294,13821132
9,2017,North Carolina,853789,3288493,2848903,6991185
10,2017,North Dakota,35023,242206,218675,495904
11,2017,Ohio,777688,4274027,2930170,7981885
12,2017,Oklahoma,309014,1408147,869253,2586414
13,2017,Oregon,262381,1404614,1234200,2901195
14,2017,Pennsylvania,844296,4551313,3565233,8960842
15,2017,Rhode Island,86292,345277,305400,736969
16,2017,South Carolina,434848,1714510,1294493,3443851
17,2017,South Dakota,47626,302991,223942,574559
18,2017,Tennessee,559884,2441814,1586755,4588453
19,2017,Texas,2969023,8484877,6695446,18149346
20,2017,Vermont,32420,201321,205526,439267
21,2017,Utah,143535,878059,805441,1827035
22,2017,Virginia,593377,2492418,2693426,5779221
23,2017,Washington,443963,2331899,2326106,5101968
24,2017,West Virginia,165261,765139,348950,1279350
25,2017,Wisconsin,301971,2020406,1635854,3958231
26,2017,Wyoming,27353,212910,147437,387700
27,2017,Alabama,446943,1739082,1123582,3309607
28,2017,Alaska,40036,260117,181408,481561
29,2017,Arizona,604898,2315302,1791162,4711362
30,2017,Arkansas,267542,1127220,613636,2008398
31,2017,California,4449302,11183063,11046908,26679273
32,2017,Colorado,319636,1614426,1888006,3822068
33,2017,Delaware,63551,346275,263860,673686
34,2017,District of Columbia,48331,147042,299241,494614
35,2017,Connecticut,239289,1088765,1165800,2493854
36,2017,Florida,1745933,7312318,5961926,15020177
37,2017,Georgia,893436,3330548,2672042,6896026
38,2017,Idaho,101739,604886,405163,1111788
39,2017,Hawaii,77131,484946,435667,997744
40,2017,Illinois,949880,4066700,3690477,8707057
41,2017,Indiana,504862,2346905,1583550,4435317
42,2017,Iowa,165605,1079746,848558,2093909
43,2017,Kansas,171263,922975,810290,1904528
44,2017,Kentucky,412486,1641330,965137,3018953
45,2017,Louisiana,463819,1728524,927934,3120277
46,2017,Maine,74787,485132,411821,971740
47,2017,Maryland,420009,1809636,1937959,4167604
48,2017,Massachusetts,442458,1906744,2439371,4788573
49,2017,Michigan,619966,3563864,2635480,6819310
50,2017,Minnesota,261634,1727896,1788886,3778416
51,2018,Wisconsin,315219,2040125,1636678,3992022
52,2018,Wyoming,26309,217155,149672,393136
53,2018,Mississippi,288595,1029619,659069,1977283
54,2018,Missouri,398377,2207516,1576894,4182787
55,2018,Montana,45079,385880,304802,735761
56,2018,Nebraska,108346,609718,548376,1266440
57,2018,Nevada,274055,1124067,698452,2096574
58,2018,New Hampshire,66510,447429,456809,970748
59,2018,New Jersey,607496,2647502,2934245,6189243
60,2018,New Mexico,206688,704600,505193,1416481
61,2018,New York,1757364,5629940,6285039,13672343
62,2018,North Carolina,834880,3299447,2967817,7102144
63,2018,North Dakota,38508,238946,223325,500779
64,2018,Ohio,746400,4264290,3016345,8027035
65,2018,Oklahoma,301260,1430811,875542,2607613
66,2018,Oregon,279925,1400404,1272051,2952380
67,2018,Pennsylvania,812098,4546402,3636127,8994627
68,2018,Rhode Island,80586,343847,316262,740695
69,2018,South Carolina,403491,1744811,1344053,3492355
70,2018,South Dakota,45157,296457,241236,582850
71,2018,Tennessee,564949,2452383,1623491,4640823
