,Year,State,Total in Labor Force,Total Unemployed in Civilian Labor Force
0,2022,Alabama,2398213,103239
1,2022,Alaska,386093,16484
2,2022,Arizona,3619698,153937
3,2022,Arkansas,1404190,62359
4,2022,California,20174168,1060822
5,2022,Colorado,3288975,113244
6,2022,Connecticut,1961345,92597
7,2022,Delaware,524136,22272
8,2022,District of Columbia,400108,20199
9,2022,Florida,11005548,434875
10,2022,Georgia,5562669,229718
11,2022,Hawaii,746185,25395
12,2022,Idaho,955160,28209
13,2022,Illinois,6628754,314814
14,2022,Indiana,3484005,124513
15,2022,Iowa,1712981,50381
16,2022,Kansas,1531077,54833
17,2022,Kentucky,2170852,93466
18,2022,Louisiana,2173507,116744
19,2022,Maine,722044,23593
20,2022,Maryland,3332616,130987
21,2022,Massachusetts,3878044,158146
22,2022,Michigan,5039051,234094
23,2022,Minnesota,3111888,99831
24,2022,Mississippi,1337386,64814
25,2022,Missouri,3126129,115407
26,2022,Montana,581891,17433
27,2022,Nebraska,1056773,24470
28,2022,Nevada,1628015,88495
29,2022,New Hampshire,774998,19642
30,2022,New Jersey,4971726,249523
31,2022,New Mexico,1000712,47124
32,2022,New York,10145004,517238
33,2022,North Carolina,5447108,200647
34,2022,North Dakota,424113,8993
35,2022,Ohio,5999325,222415
36,2022,Oklahoma,1940528,79711
37,2022,Oregon,2191659,93138
38,2022,Pennsylvania,6698469,287716
39,2022,Rhode Island,591365,26668
40,2022,South Carolina,2607685,111672
41,2022,South Dakota,479744,13309
42,2022,Tennessee,3558019,121523
43,2022,Texas,15376318,670914
44,2022,Utah,1791947,48008
45,2022,Vermont,356111,10013
46,2022,Virginia,4600045,161105
47,2022,Washington,4095487,163479
48,2022,West Virginia,774750,36582
49,2022,Wisconsin,3127697,86461
50,2022,Wyoming,306456,11409
51,2021,Alabama,2335486,123808
52,2021,Arizona,3544778,203756
53,2021,Arkansas,1408602,77486
54,2021,California,19961610,1649320
55,2021,Colorado,3212836,168571
56,2021,Connecticut,1950159,129633
57,2021,Delaware,492382,27140
58,2021,District of Columbia,391439,31749
59,2021,Florida,10652489,592167
60,2021,Georgia,5394701,294785
61,2021,Hawaii,739336,53237
62,2021,Idaho,937369,30858
63,2021,Illinois,6584794,482887
64,2021,Indiana,3426897,160040
65,2021,Iowa,1681087,60198
66,2021,Kansas,1520362,65475
67,2021,Kentucky,2125669,114655
68,2021,Louisiana,2143567,161765
69,2021,Maine,708906,34431
70,2021,Maryland,3304168,192275
71,2021,Massachusetts,3865417,255238
72,2021,Michigan,4966693,342848
73,2021,Minnesota,3114145,151805
74,2021,Mississippi,1325864,84002
75,2021,Missouri,3107007,142497
76,2021,Montana,554118,21876
77,2021,Nebraska,1053466,27826
78,2021,Nevada,1590604,152875
79,2021,New Hampshire,776061,27923
80,2021,New Jersey,4914835,395137
81,2021,New Mexico,967832,74721
82,2021,New York,10138385,883908
83,2021,North Carolina,5301767,300438
84,2021,North Dakota,415807,11627
85,2021,Ohio,5936933,322494
86,2021,Oklahoma,1917143,112271
87,2021,Oregon,2147998,136281
88,2021,Pennsylvania,6618867,420743
89,2021,Rhode Island,594888,45296
90,2021,South Carolina,2507997,139757
91,2021,South Dakota,466270,12923
92,2021,Tennessee,3439821,180846
93,2021,Texas,14826344,910813
94,2021,Utah,1721142,59693
95,2021,Vermont,349096,14648
96,2021,Virginia,4553835,211324
97,2021,Washington,3993077,232094
