,State,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone),Year
0,Alabama,2016448,941596,90528,276864,707460,612711,2022
1,Alaska,274574,129511,17440,28838,98785,76356,2022
2,Arizona,2850377,1332270,174058,337202,1006847,775093,2022
3,Arkansas,1216207,572596,57647,147690,438274,374526,2022
4,California,13550586,6516115,870396,1764293,4399782,3296939,2022
5,Colorado,2384584,1144446,109859,209877,920402,675140,2022
6,Connecticut,1433635,658900,70662,172977,531096,429010,2022
7,Delaware,402334,197223,19368,47294,138449,115242,2022
8,District of Columbia,326970,77550,7600,38718,203102,158840,2022
9,Florida,8826394,4119638,460440,1104321,3141995,2481915,2022
10,Georgia,4092467,1917471,200003,615760,1359233,1108596,2022
11,Hawaii,494827,240727,27276,67049,159775,125324,2022
12,Idaho,717151,396372,32519,62182,226078,174054,2022
13,Illinois,5056360,2282497,247142,608284,1918437,1569519,2022
14,Indiana,2726489,1307913,132584,299609,986383,806482,2022
15,Iowa,1330995,646759,59962,115239,509035,406633,2022
16,Kansas,1175294,574286,54468,111653,434887,356033,2022
17,Kentucky,1828680,860710,91926,219489,656555,543017,2022
18,Louisiana,1816902,754142,93957,283038,685765,572258,2022
19,Maine,605338,292681,26729,51525,234403,181434,2022
20,Maryland,2375984,1104626,124762,316894,829702,676774,2022
21,Massachusetts,2797776,1263224,130488,330643,1073421,815257,2022
22,Michigan,4089794,1868821,200271,479468,1541234,1249079,2022
23,Minnesota,2322190,1147255,107485,201572,865878,684706,2022
24,Mississippi,1148340,503356,59370,191538,394076,343280,2022
25,Missouri,2521832,1168049,123769,277917,952097,779978,2022
26,Montana,464072,223380,20899,37937,181856,141472,2022
27,Nebraska,803157,390540,33799,77256,301562,247140,2022
28,Nevada,1198356,530175,83568,159923,424690,330060,2022
29,New Hampshire,557220,285354,25605,47161,199100,153859,2022
