Year,State,Total in Labor Force,Total Unemployed in Civilian Labor Force,Total Opioid Deaths
2022,Alabama,2398213,103239,1015.777778
2022,Alaska,386093,16484,185.5833333
2022,Arizona,3619698,153937,1983.25
2022,Arkansas,1404190,62359,387.8333333
2022,California,20174168,1060822,7705.583333
2022,Colorado,3288975,113244,1250.083333
2022,Connecticut,1961345,92597,1367.25
2022,Delaware,524136,22272,464.5
2022,District of Columbia,400108,20199,425.5833333
2022,Florida,11005548,434875,5984.5
2022,Georgia,5562669,229718,1846.75
2022,Hawaii,746185,25395,101.5
2022,Idaho,955160,28209,246.9166667
2022,Illinois,6628754,314814,3207.916667
2022,Indiana,3484005,124513,2133.666667
2022,Iowa,1712981,50381,256.25
2022,Kansas,1531077,54833,466.1666667
2022,Kentucky,2170852,93466,1830.666667
2022,Louisiana,2173507,116744,
2022,Maine,722044,23593,577.6666667
2022,Maryland,3332616,130987,2270.916667
2022,Massachusetts,3878044,158146,2281.75
2022,Michigan,5039051,234094,2449.25
2022,Minnesota,3111888,99831,994.1666667
2022,Mississippi,1337386,64814,502.3333333
2022,Missouri,3126129,115407,1598.5
2022,Montana,581891,17433,119.4166667
2022,Nebraska,1056773,24470,
2022,Nevada,1628015,88495,634.0
2022,New Hampshire,774998,19642,421.5833333
2022,New Jersey,4971726,249523,2628.916667
2022,New Mexico,1000712,47124,741.9166667
2022,New York,10145004,517238,2618.625
2022,North Carolina,5447108,200647,3443.666667
2022,North Dakota,424113,8993,76.0
2022,Ohio,5999325,222415,4277.0
2022,Oklahoma,1940528,79711,616.0
2022,Oregon,2191659,93138,852.0833333
2022,Pennsylvania,6698469,287716,
2022,Rhode Island,591365,26668,380.5
2022,South Carolina,2607685,111672,1801.416667
2022,South Dakota,479744,13309,41.75
2022,Tennessee,3558019,121523,3045.333333
2022,Texas,15376318,670914,2853.166667
2022,Utah,1791947,48008,444.9166667
2022,Vermont,356111,10013,228.0
2022,Virginia,4600045,161105,2126.75
2022,Washington,4095487,163479,1819.833333
2022,West Virginia,774750,36582,1154.833333
2022,Wisconsin,3127697,86461,1469.833333
2022,Wyoming,306456,11409,72.25
2021,Alabama,2335486,123808,0.0
2021,Arizona,3544778,203756,1985.666667
2021,Arkansas,1408602,77486,338.6666667
2021,California,19961610,1649320,6885.666667
2021,Colorado,3212836,168571,1156.916667
2021,Connecticut,1950159,129633,1332.75
2021,Delaware,492382,27140,415.5
2021,District of Columbia,391439,31749,408.5
2021,Florida,10652489,592167,6047.75
2021,Georgia,5394701,294785,1512.416667
2021,Hawaii,739336,53237,81.5
2021,Idaho,937369,30858,196.8
2021,Illinois,6584794,482887,2941.25
2021,Indiana,3426897,160040,2027.0
2021,Iowa,1681087,60198,234.9166667
2021,Kansas,1520362,65475,353.75
2021,Kentucky,2125669,114655,1860.333333
2021,Louisiana,2143567,161765,
2021,Maine,708906,34431,482.25
2021,Maryland,3304168,192275,2560.416667
2021,Massachusetts,3865417,255238,2141.0
2021,Michigan,4966693,342848,2400.083333
2021,Minnesota,3114145,151805,878.3333333
2021,Mississippi,1325864,84002,484.9166667
2021,Missouri,3107007,142497,1507.666667
2021,Montana,554118,21876,96.83333333
2021,Nebraska,1053466,27826,
2021,Nevada,1590604,152875,635.3333333
2021,New Hampshire,776061,27923,343.9166667
2021,New Jersey,4914835,395137,2576.75
2021,New Mexico,967832,74721,652.8333333
2021,New York,10138385,883908,2352.875
2021,North Carolina,5301767,300438,2973.5
2021,North Dakota,415807,11627,0.0
2021,Ohio,5936933,322494,4537.083333
2021,Oklahoma,1917143,112271,365.0833333
2021,Oregon,2147998,136281,654.0
2021,Pennsylvania,6618867,420743,
2021,Rhode Island,594888,45296,350.8333333
2021,South Carolina,2507997,139757,1585.833333
2021,South Dakota,466270,12923,37.75
2021,Tennessee,3439821,180846,2829.916667
2021,Texas,14826344,910813,2511.583333
2021,Utah,1721142,59693,445.75
2021,Vermont,349096,14648,192.8333333
2021,Virginia,4553835,211324,2094.583333
2021,Washington,3993077,232094,1418.833333
2021,West Virginia,771429,47941,1268.5
2021,Wisconsin,3105191,110048,1341.166667
2021,Wyoming,301303,11171,60.75
2021,Alaska,376965,24603,156.5
2019,Mississippi,1342991,87817,194.6363636
2019,Missouri,3078235,116062,1122.166667
2019,Montana,545370,22004,0.0
2019,Nebraska,1049680,34133,
2019,Nevada,1568228,79000,416.75
2019,New Hampshire,759931,22609,374.5
2019,New Jersey,4731226,220476,2472.916667
2019,New Mexico,972732,52489,360.25
2019,New York,10085219,445165,1453.541667
2019,North Carolina,5272092,236872,1813.25
2019,North Dakota,424480,10920,0.0
2019,Ohio,5976393,272654,3367.25
2019,Oklahoma,1895848,81705,260.25
2019,Oregon,2158612,107991,326.6666667
2019,Pennsylvania,6592650,295633,
2019,Rhode Island,575681,24199,273.8333333
2019,South Carolina,2513088,116037,835.0
2019,South Dakota,469624,14033,31.58333333
2019,Tennessee,3387696,152373,1440.583333
2019,Texas,14574146,635077,1402.083333
2019,Vermont,343455,11552,110.9166667
2019,Utah,1656987,52422,401.0
2019,Virginia,4537998,175528,1228.416667
2019,Washington,3988571,179353,769.3333333
2019,West Virginia,795104,47424,679.1666667
2019,Wisconsin,3104192,98873,877.0833333
2019,Wyoming,297245,10539,42.33333333
2019,Illinois,6628213,320069,2129.833333
2019,Georgia,5308730,251981,835.4166667
2019,Idaho,881838,29127,0.0
2019,Hawaii,745236,27112,60.75
2019,Indiana,3419651,142084,1155.3
2019,Iowa,1682701,62357,140.1666667
2019,Kansas,1533054,56737,167.8
2019,Kentucky,2112749,100537,988.75
2019,Louisiana,2179183,118011,
2019,Maine,711235,24471,282.5
2019,Maryland,3279799,147356,2098.916667
2019,Massachusetts,3857469,151812,1945.416667
2019,Michigan,5010213,250252,1867.75
2019,Minnesota,3112899,98727,0.0
2019,Connecticut,1937195,102571,1028.416667
2019,Florida,10500485,471449,3925.333333
2019,Alabama,2281982,111622,0.0
2019,Alaska,377728,20650,80.16666667
2019,Arizona,3506306,176868,1216.166667
2019,Arkansas,1398200,67142,0.0
2019,California,20246507,1017660,3052.285714
2019,Colorado,3182096,115497,580.4545455
2019,Delaware,494432,22631,364.4166667
2019,District of Columbia,416359,25916,236.6666667
2018,Wisconsin,3096515,98228,885.4166667
2018,Wyoming,302831,11684,41.41666667
2018,Mississippi,1336759,94796,0.0
2018,Missouri,3066200,127857,1072.6
2018,Montana,545240,19003,0.0
2018,Nebraska,1040627,35872,
2018,Nevada,1539795,85276,412.5
2018,New Hampshire,757313,26906,420.0
2018,New Jersey,4729209,230383,2389.857143
2018,New Mexico,941259,56803,329.8333333
2018,New York,10026845,499801,1542.083333
2018,North Carolina,5216053,254808,1833.583333
2018,North Dakota,418771,11691,0.0
2018,Ohio,5938035,292570,3540.0
2018,Oklahoma,1891713,81669,324.6666667
2018,Oregon,2138616,106955,353.5
2018,Pennsylvania,6576258,321234,
2018,Rhode Island,562393,30862,278.9166667
2018,South Carolina,2475682,128847,777.6666667
2018,South Dakota,470490,13845,29.5
2018,Tennessee,3330964,181951,1279.083333
2018,Texas,14266767,694485,1416.0
2018,Vermont,344832,13128,114.5
2018,Utah,1587453,50175,461.5833333
2018,Virginia,4482124,183221,1183.666667
2018,Washington,3908438,166229,741.8333333
2018,West Virginia,788509,45639,770.75
2018,Alabama,2231613,124835,0.0
2018,Alaska,388885,25410,82.5
2018,Arizona,3415877,181757,1028.416667
2018,Arkansas,1382752,61872,0.0
2018,California,20169143,1108664,0.0
2018,Colorado,3138416,122498,573.6
2018,Delaware,489706,27858,329.1
2018,District of Columbia,414568,31074,219.9166667
2018,Connecticut,1936101,106371,953.6666667
2018,Florida,10316295,530845,0.0
2018,Georgia,5245825,249896,916.25
2018,Idaho,843615,33438,0.0
2018,Hawaii,752795,27230,55.22222222
2018,Illinois,6676623,368739,2236.166667
2018,Indiana,3391849,149266,0.0
2018,Iowa,1678071,60717,172.0833333
2018,Kansas,1515474,57197,0.0
2018,Kentucky,2117233,109879,1048.090909
2018,Louisiana,2168385,137130,
2018,Maine,704960,24865,330.4166667
2018,Maryland,3283636,160777,2149.333333
2018,Massachusetts,3807761,180720,1989.583333
2018,Michigan,4977773,265532,2030.333333
2018,Minnesota,3080480,104622,0.0
2017,Mississippi,1329899,92744,0.0
2017,Missouri,3078317,141163,993.0
2017,Montana,540463,18844,0.0
2017,Nebraska,1048598,34967,
2017,Nevada,1522722,90032,419.0833333
2017,New Hampshire,759219,28888,418.4166667
2017,New Jersey,4755006,252810,0.0
2017,New Mexico,939545,61065,349.9166667
2017,New York,10218721,560001,1629.208333
2017,North Carolina,5143222,266777,1735.333333
2017,North Dakota,426288,12307,0.0
2017,Ohio,5894531,303348,4266.75
2017,Oklahoma,1874308,99619,430.9166667
2017,Oregon,2102930,107100,321.3333333
2017,Pennsylvania,6524656,345226,
2017,Rhode Island,574161,32751,287.3333333
2017,South Carolina,2444647,139747,703.9166667
2017,South Dakota,461825,16208,40.16666667
2017,Tennessee,3311043,162289,1247.416667
2017,Texas,14001860,716417,0.0
