,Year/State,Year/State,Opioid Data,Income Data,Employment Data,Employment Data,Education Data,Education Data,Education Data,Education Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data
,Year,State,Total Opioid Deaths,Median Household Income (in Inflation–Adjusted Dollars),Total in Labor Force,Total Unemployed in Civilian Labor Force,Total Surveyed,No High School Degree,High School Diploma or GED,College Degree or greater,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone)
0,2022,Alabama,1015.777778,59674.0,2398213,103239,3474924,389297,1773299,1312328,2016448,941596,90528,276864,707460,612711
1,2022,Alaska,185.5833333,88121.0,386093,16484,489218,32669,258533,198016,274574,129511,17440,28838,98785,76356
2,2022,Arizona,1983.25,74568.0,3619698,153937,5053656,548248,2363882,2141526,2850377,1332270,174058,337202,1006847,775093
3,2022,Arkansas,387.8333333,55432.0,1404190,62359,2057624,223437,1143746,690441,1216207,572596,57647,147690,438274,374526
4,2022,California,7705.583333,91551.0,20174168,1060822,26866773,4115683,10699709,12051381,13550586,6516115,870396,1764293,4399782,3296939
5,2022,Colorado,1250.083333,89302.0,3288975,113244,4084004,284568,1585288,2214148,2384584,1144446,109859,209877,920402,675140
6,2022,Connecticut,1367.25,88429.0,1961345,92597,2545188,216035,1065740,1263413,1433635,658900,70662,172977,531096,429010
7,2022,Delaware,464.5,82174.0,524136,22272,724041,57924,340076,326041,402334,197223,19368,47294,138449,115242
8,2022,District of Columbia,425.5833333,101027.0,400108,20199,479231,30355,119628,329248,326970,77550,7600,38718,203102,158840
9,2022,Florida,5984.5,69303.0,11005548,434875,16104410,1622930,7319247,7162233,8826394,4119638,460440,1104321,3141995,2481915
10,2022,Georgia,1846.75,72837.0,5562669,229718,7332980,768936,3380957,3183087,4092467,1917471,200003,615760,1359233,1108596
11,2022,Hawaii,101.5,92458.0,746185,25395,1023843,72742,474449,476652,494827,240727,27276,67049,159775,125324
12,2022,Idaho,246.9166667,72785.0,955160,28209,1280178,102284,638747,539147,717151,396372,32519,62182,226078,174054
13,2022,Illinois,3207.916667,76708.0,6628754,314814,8692839,834379,3851144,4007316,5056360,2282497,247142,608284,1918437,1569519
14,2022,Indiana,2133.666667,66785.0,3484005,124513,4584460,449388,2353788,1781284,2726489,1307913,132584,299609,986383,806482
15,2022,Iowa,256.25,69588.0,1712981,50381,2159511,141021,1062385,956105,1330995,646759,59962,115239,509035,406633
16,2022,Kansas,466.1666667,68925.0,1531077,54833,1944891,154181,921380,869330,1175294,574286,54468,111653,434887,356033
17,2022,Kentucky,1830.666667,59341.0,2170852,93466,3091499,340059,1617789,1133651,1828680,860710,91926,219489,656555,543017
18,2022,Louisiana,,,2173507,116744,3096121,393283,1641293,1061545,1816902,754142,93957,283038,685765,572258
19,2022,Maine,577.6666667,69543.0,722044,23593,1030141,55168,493647,481326,605338,292681,26729,51525,234403,181434
20,2022,Maryland,2270.916667,94991.0,3332616,130987,4286216,367917,1744719,2173580,2375984,1104626,124762,316894,829702,676774
21,2022,Massachusetts,2281.75,94488.0,3878044,158146,4947384,428752,1842497,2676135,2797776,1263224,130488,330643,1073421,815257
22,2022,Michigan,2449.25,66986.0,5039051,234094,6978952,569722,3493477,2915753,4089794,1868821,200271,479468,1541234,1249079
23,2022,Minnesota,994.1666667,82338.0,3111888,99831,3918565,233881,1685026,1999658,2322190,1147255,107485,201572,865878,684706
24,2022,Mississippi,502.3333333,52719.0,1337386,64814,1963322,243526,1023733,696063,1148340,503356,59370,191538,394076,343280
25,2022,Missouri,1598.5,64811.0,3126129,115407,4236010,357617,2164661,1713732,2521832,1168049,123769,277917,952097,779978
26,2022,Montana,119.4166667,67631.0,581891,17433,785438,46751,392618,346069,464072,223380,20899,37937,181856,141472
27,2022,Nebraska,,,1056773,24470,1300094,93708,606747,599639,803157,390540,33799,77256,301562,247140
28,2022,Nevada,634.0,72333.0,1628015,88495,2223852,279791,1149462,794599,1198356,530175,83568,159923,424690,330060
29,2022,New Hampshire,421.5833333,89992.0,774998,19642,1024780,56005,449870,518905,557220,285354,25605,47161,199100,153859
30,2022,New Jersey,2628.916667,96346.0,4971726,249523,6482223,602004,2622276,3257943,3516978,1753523,181566,443370,1138519,930619
31,2022,New Mexico,741.9166667,59726.0,1000712,47124,1453129,174301,703939,574889,848218,344144,54774,117546,331754,274155
32,2022,New York,2618.625,79557.0,10145004,517238,13892241,1681213,5430838,6780190,7774308,3288930,399804,1049498,3036076,2422271
33,2022,North Carolina,3443.666667,67481.0,5447108,200647,7372120,722720,3258690,3390710,4299266,2057368,189029,539100,1513769,1239751
34,2022,North Dakota,76.0,71970.0,424113,8993,514786,31578,246217,236991,331481,156026,12766,24969,137720,110494
35,2022,Ohio,4277.0,65720.0,5999325,222415,8130929,670433,4147340,3313156,4878206,2173755,228796,580594,1895061,1551743
36,2022,Oklahoma,616.0,59673.0,1940528,79711,2661141,277868,1400715,982558,1573180,746847,85224,185515,555594,454162
37,2022,Oregon,852.0833333,75657.0,2191659,93138,3043930,254596,1411409,1377925,1726340,788221,82721,170141,685257,505197
38,2022,Pennsylvania,,,6698469,287716,9151744,715110,4413847,4022787,5294065,2462324,238782,593708,1999251,1621750
39,2022,Rhode Island,380.5,81854.0,591365,26668,778191,73992,333314,370885,446688,188207,27767,50961,179753,140008
40,2022,South Carolina,1801.416667,64115.0,2607685,111672,3664922,349004,1752565,1563353,2136080,1018293,94418,285701,737668,614870
41,2022,South Dakota,41.75,69728.0,479744,13309,605735,41373,293034,271328,368300,177786,18524,28543,143447,117249
42,2022,Tennessee,3045.333333,65254.0,3558019,121523,4868110,469512,2503104,1895494,2846684,1342153,139454,364965,1000112,813739
43,2022,Texas,2853.166667,72284.0,15376318,670914,19597383,2722008,8704200,8171175,11087708,5401546,605432,1476398,3604332,2914356
44,2022,Utah,444.9166667,89168.0,1791947,48008,2042912,142635,921686,978591,1129660,672316,57561,100722,299061,219926
45,2022,Vermont,228.0,73991.0,356111,10013,467643,23468,195969,248206,277090,131234,11709,21553,112594,84085
46,2022,Virginia,2126.75,85873.0,4600045,161105,5978782,505775,2499236,2973771,3380607,1642002,158347,391567,1188691,953330
47,2022,Washington,1819.833333,91306.0,4095487,163479,5470209,428495,2337435,2704279,3079953,1499199,145218,291028,1144508,858651
48,2022,West Virginia,1154.833333,54329.0,774750,36582,1262566,137151,701083,424332,736341,338510,39378,85176,273277,228606
49,2022,Wisconsin,1469.833333,70996.0,3127697,86461,4088500,266497,2007700,1814303,2491121,1171977,112626,226502,980016,771357
50,2022,Wyoming,72.25,70042.0,306456,11409,399796,25074,208712,166010,243321,119329,12725,21311,89956,74054
51,2021,Alabama,0.0,53913.0,2335486,123808,3451208,416467,1784947,1249794,1967559,904392,90366,276625,696176,607180
52,2021,Arizona,1985.666667,69056.0,3544778,203756,4980297,549363,2348548,2082386,2817723,1344242,163839,338277,971365,741675
53,2021,Arkansas,338.6666667,52528.0,1408602,77486,2037763,230890,1130297,676576,1183675,565893,59813,151925,406044,339397
54,2021,California,6885.666667,84907.0,19961610,1649320,26909869,4184879,10866898,11858092,13429063,6517082,864894,1764642,4282445,3218519
55,2021,Colorado,1156.916667,82254.0,3212836,168571,4044182,305974,1607811,2130397,2313042,1124072,107081,217502,864387,644981
56,2021,Connecticut,1332.75,83771.0,1950159,129633,2534376,225191,1053444,1255741,1428313,664848,64625,186889,511951,411766
